Date,Open,High,Low,Close,Adj Close,Volume
2017-05-18,498.000000,499.200012,490.100006,491.850006,486.459503,338266
2017-05-19,496.000000,503.000000,494.899994,500.850006,495.360870,320615
2017-05-22,503.399994,507.399994,499.399994,502.049988,496.547729,212225
2017-05-23,502.600006,506.200012,495.500000,500.700012,495.212524,492669
2017-05-24,501.000000,504.350006,495.399994,499.200012,493.729004,261603
2017-05-25,500.000000,509.500000,496.000000,506.350006,500.800629,486096
2017-05-26,508.000000,512.799988,504.700012,511.399994,505.795258,303957
2017-05-29,509.000000,515.099976,502.899994,505.950012,500.404999,311255
2017-05-30,505.000000,516.150024,503.450012,512.750000,507.130463,310479
2017-05-31,516.900024,516.900024,509.549988,514.200012,508.564575,204396
2017-06-01,514.000000,515.900024,506.000000,509.500000,503.916077,152924
2017-06-02,512.000000,513.000000,506.649994,507.850006,502.284180,130584
2017-06-05,509.000000,516.099976,507.450012,513.049988,507.427155,407504
2017-06-06,514.000000,515.950012,505.649994,510.350006,504.756775,122187
2017-06-07,510.299988,514.799988,508.250000,513.299988,507.674408,174355
2017-06-08,512.500000,521.599976,511.100006,514.700012,509.059113,503261
2017-06-09,515.000000,515.849976,509.399994,513.450012,507.822815,141769
2017-06-12,514.700012,514.700012,506.049988,507.399994,501.839111,92748
2017-06-13,510.049988,512.250000,505.500000,506.299988,500.751160,121655
2017-06-14,509.000000,510.399994,501.700012,508.200012,502.630341,286435
2017-06-15,510.799988,510.799988,504.000000,508.049988,502.481964,1091163
2017-06-16,507.899994,513.900024,507.700012,510.000000,504.410614,337594
2017-06-19,512.000000,525.000000,509.100006,519.900024,514.202087,543214
2017-06-20,521.000000,521.250000,510.649994,511.799988,506.190887,212382
2017-06-21,511.799988,512.299988,506.399994,507.549988,501.987457,166644
2017-06-22,511.100006,514.349976,506.500000,507.899994,502.333588,167858
2017-06-23,511.899994,511.899994,503.700012,504.600006,499.069794,143309
2017-06-27,509.000000,509.000000,484.750000,492.799988,487.399078,359537
2017-06-28,490.500000,500.250000,490.100006,494.500000,489.080475,268805
2017-06-29,497.000000,514.150024,497.000000,511.700012,506.092010,568918
2017-06-30,511.700012,517.799988,507.899994,516.099976,510.443726,435767
2017-07-03,517.000000,521.000000,515.299988,517.750000,512.075684,273203
2017-07-04,510.149994,517.549988,506.500000,509.000000,503.421570,168309
2017-07-05,508.899994,516.150024,508.000000,513.799988,508.168945,144328
2017-07-06,510.950012,512.500000,508.500000,509.649994,509.017914,162689
2017-07-07,508.000000,511.500000,501.450012,503.299988,502.675781,198676
2017-07-10,508.950012,512.950012,505.600006,509.750000,509.117767,1147690
2017-07-11,513.450012,513.450012,506.000000,507.500000,506.870575,161627
2017-07-12,510.000000,510.000000,504.500000,507.299988,506.670807,137501
2017-07-13,506.200012,516.799988,506.200012,512.000000,511.364990,1335917
2017-07-14,514.299988,514.599976,507.850006,513.099976,512.463623,176916
2017-07-17,513.000000,514.000000,508.200012,510.950012,510.316315,172710
2017-07-18,506.700012,522.700012,506.700012,517.000000,516.358765,370166
2017-07-19,520.400024,521.099976,516.400024,520.150024,519.504883,187486
2017-07-20,521.000000,543.799988,520.450012,540.299988,539.629883,1159178
2017-07-21,540.750000,542.000000,532.500000,540.200012,539.530029,343420
2017-07-24,539.000000,546.000000,531.650024,534.299988,533.637329,308233
2017-07-25,533.599976,547.000000,529.400024,544.650024,543.974548,521525
2017-07-26,542.000000,543.849976,525.000000,528.849976,528.194092,775208
2017-07-27,531.200012,535.000000,521.799988,524.700012,524.049255,403070
2017-07-28,525.000000,529.500000,512.500000,515.000000,514.361267,298238
2017-07-31,516.500000,520.950012,509.500000,518.849976,518.206482,272895
2017-08-01,518.000000,521.200012,514.500000,516.150024,515.509888,217379
2017-08-02,517.000000,523.400024,511.500000,516.400024,515.759583,261851
2017-08-03,515.500000,516.000000,505.000000,506.000000,505.372437,544597
2017-08-04,506.000000,511.450012,505.100006,508.450012,507.819397,240565
2017-08-07,508.450012,511.600006,504.500000,506.000000,505.372437,3336775
2017-08-08,506.500000,510.899994,496.250000,499.299988,498.680725,431407
2017-08-09,494.750000,498.600006,486.649994,488.649994,488.043945,437669
2017-08-10,488.600006,494.600006,484.149994,486.899994,486.296112,392289
2017-08-11,483.899994,492.850006,480.250000,489.950012,489.342346,248748
2017-08-14,490.600006,497.049988,489.850006,491.250000,490.640717,303512
2017-08-16,493.000000,501.250000,488.200012,499.100006,498.480988,325758
2017-08-17,501.899994,503.200012,495.049988,496.799988,496.183838,283518
2017-08-18,496.500000,497.200012,490.250000,490.700012,490.091431,240963
2017-08-21,493.299988,502.649994,492.000000,494.149994,493.537109,11930066
2017-08-22,496.000000,506.500000,496.000000,499.149994,498.530914,233989
2017-08-23,503.000000,505.200012,500.200012,503.000000,502.376160,150563
2017-08-24,504.799988,508.899994,502.350006,505.600006,504.972931,660747
2017-08-28,506.000000,512.150024,506.000000,510.750000,510.116547,228687
2017-08-29,508.549988,509.000000,501.000000,503.649994,503.025330,168605
2017-08-30,504.500000,509.649994,502.500000,504.700012,504.074066,137641
2017-08-31,505.000000,506.000000,500.000000,500.649994,500.029053,175730
2017-09-01,501.000000,509.649994,499.000000,507.649994,507.020386,169018
2017-09-04,506.000000,508.899994,500.600006,502.350006,501.726959,164434
2017-09-05,500.049988,506.649994,500.049988,502.500000,501.876770,91716
2017-09-06,504.899994,504.899994,492.399994,493.500000,492.887939,228014
2017-09-07,495.000000,498.750000,495.000000,496.500000,495.884216,132524
2017-09-08,496.600006,497.950012,492.149994,493.250000,492.638245,159591
2017-09-11,495.000000,497.500000,492.200012,493.200012,492.588318,135407
2017-09-12,496.350006,502.000000,493.200012,495.549988,494.935394,160983
2017-09-13,496.500000,504.799988,495.000000,498.799988,498.181335,243941
2017-09-14,505.000000,521.000000,502.649994,519.750000,519.105408,668430
2017-09-15,519.000000,520.650024,511.600006,517.549988,516.908081,309677
2017-09-18,516.099976,525.650024,516.099976,523.549988,522.900635,267636
2017-09-19,524.599976,525.000000,517.549988,520.849976,520.203979,135664
2017-09-20,519.000000,522.450012,518.000000,519.349976,518.705872,72279
2017-09-21,520.500000,522.000000,506.250000,512.250000,511.614685,161862
2017-09-22,511.000000,511.000000,503.549988,505.049988,504.423584,132644
2017-09-25,504.000000,504.000000,488.299988,501.299988,500.678253,256265
2017-09-26,496.149994,516.500000,496.149994,510.399994,509.766968,546495
2017-09-27,511.049988,513.049988,500.549988,505.500000,504.873047,208569
2017-09-28,508.750000,516.849976,505.649994,511.750000,511.115295,196205
2017-09-29,507.000000,516.900024,505.750000,508.799988,508.168945,337869
2017-10-03,509.000000,517.000000,505.250000,508.500000,507.869324,189385
2017-10-04,509.950012,510.000000,504.000000,505.299988,504.673279,248222
2017-10-05,505.500000,512.000000,497.700012,501.149994,500.528442,193254
2017-10-06,502.000000,507.149994,501.399994,504.450012,503.824371,277030
2017-10-09,505.000000,508.600006,501.399994,505.149994,504.523468,159767
2017-10-10,506.500000,515.000000,504.899994,513.950012,513.312561,213491
2017-10-11,519.000000,522.849976,509.399994,515.549988,514.910583,270032
2017-10-12,514.200012,525.799988,513.549988,524.650024,523.999329,223544
